Code,Description,Work Type,Labor Hours,FRT
17451602,Antenna (with Cap) - Passive Entry - Center Console,Remove and Replace,0.72,0.72
17451801,Antenna - Passive Entry - Rear (Remove & Install),Remove and Install,0.45,0.45
17451802,Antenna - Passive Entry - Rear (Remove & Replace),Remove and Replace,0.54,0.54
17500301,Wiper Arm - LH (Remove & Install),Remove and Install,0.06,0.06
17500302,Wiper Arm - LH (Remove & Replace),Remove and Replace,0.06,0.06
17500351,Wiper Arm - RH (Remove & Install),Remove and Install,0.06,0.06
17500352,Wiper Arm - RH (Remove & Replace),Remove and Replace,0.06,0.06
17500401,Wiper Blade - LH (Remove & Install),Remove and Install,0.05,0.05
17500402,Wiper Blade - LH (Remove & Replace),Remove and Replace,0.06,0.06
17500501,Wiper Blade - RH (Remove & Install),Remove and Install,0.05,0.05
17500502,Wiper Blade - RH (Remove & Replace),Remove and Replace,0.06,0.06
17500805,Windshield Washer Fluid - Top Off,Maintenance,0.0,0.0
17501001,Pump - Windshield Washer Reservoir (Remove & Install),Remove and Install,0.36,0.36
17501002,Pump - Windshield Washer Reservoir (Remove & Replace),Remove and Replace,0.36,0.36
17501006,Inline Coupler- Windshield Washer (Retrofit),Retrofit,0.06,0.06
17501101,Reservoir - Windshield Washer (Remove & Install),Remove and Install,0.48,0.48
17501102,Reservoir - Windshield Washer (Remove & Replace),Remove and Replace,0.48,0.48
17501201,Cap - Reservoir - Windshield Washer (Remove & Install),Remove and Install,0.06,0.06
17501202,Cap - Reservoir - Windshield Washer (Remove and Replace),Remove and Replace,0.06,0.06
17501300,Nozzle - Windshield Washer (Adjust),Test/Adjust,0.24,0.24
17501700,Wiper Blades - Adjust,Test/Adjust,0.18,0.18
17501701,Wiper Blades (Remove & Install),Remove and Install,0.06,0.06
17501702,Wiper Blades (Remove & Replace),Remove and Replace,0.06,0.06
17501801,Wiper Arms - Pair  (Remove & Install),Remove and Install,0.12,0.12
17501802,Wiper Arms - Pair  (Remove & Replace),Remove and Replace,0.12,0.12
17501901,Sensor - Level - Windshield Washer Reservoir  (Remove & Install),Remove and Install,0.25,0.25
17501902,Sensor - Level - Windshield Washer Reservoir  (Remove & Replace),Remove and Replace,0.3,0.3
17502501,Wiper Module (LHD) (Remove & Install),Remove and Install,0.66,0.66
17502502,Wiper Module (LHD) (Remove & Replace),Remove and Replace,0.66,0.66
17502701,Wiper Module (RHD) (Remove & Install),Remove and Install,0.5,0.5
17502702,Wiper Module (RHD) (Remove & Replace),Remove and Replace,0.6,0.6
17530101,Horn - High Tone (Remove & Install),Remove and Install,0.5,0.5
17530102,Horn - High Tone (Remove & Replace),Remove and Replace,0.66,0.66
17530201,Horns - Tone Horn Assembly - Pair (Remove & Install),Remove and Install,0.5,0.5
17530202,Horns - Tone Horn Assembly - Pair (Remove and Replace),Remove and Replace,0.66,0.66
17530301,Horn - Low Tone (Remove & Install),Remove and Install,0.5,0.5
17530302,Horn - Low Tone (Remove & Replace),Remove and Replace,0.66,0.66
17541001,Speaker - Pedestrian Warning (Remove & Install),Remove and Install,0.2,0.2
17541002,Speaker - Pedestrian Warning (Remove & Replace),Remove and Replace,0.24,0.24
17551001,Accelerator (Remove & Install),Remove and Install,0.4,0.4
17551002,Accelerator (Remove & Replace),Remove and Replace,0.48,0.48
17570101,Pyrotechnic Battery Disconnect (Remove & Install),Remove and Install,0.35,0.35
17570102,Pyrotechnic Battery Disconnect (Remove & Replace),Remove and Replace,0.42,0.42
18038927,AC Pipe Insulation Rework,Retrofit,0.18,0.18
18100101,Filter - Cabin (Remove & Install),Remove and Install,0.12,0.12
18100102,Filter - Cabin (Remove & Replace),Remove and Replace,0.12,0.12
18100401,Duct - Busbar - 3rd Row - RH (Remove and Install),Remove and Install,0.6,0.6
18100402,Duct - Busbar - 3rd Row - RH (Remove and Replace),Remove and Replace,0.6,0.6
18100601,Module - HVAC Controller - RCCM (Remove & Install),Remove and Install,1.1,1.1
18100602,Module - HVAC Controller - RCCM (Remove & Replace),Remove and Replace,1.32,1.32
18101001,HVAC Assembly (Remove & Install),Remove and Install,6.6,6.6
18101002,HVAC Assembly (Remove & Replace),Remove and Replace,6.6,6.6
18101501,HVAC Assembly - Rear (Add Refrigerant Part if Needed) (Remove & Install),Remove and Install,2.04,2.04
18101502,HVAC Assembly - Rear (Add Refrigerant Part if Needed) (Remove & Replace),Remove and Replace,2.04,2.04
18101602,Duct - Rocker - 3rd Row - RH (Remove & Replace),Remove and Replace,0.54,0.54
18102001,Actuator - Inlet (Remove & Install),Remove and Install,0.35,0.35
18102002,Actuator - Inlet (Remove & Replace),Remove and Replace,0.42,0.42
18102101,Actuator - Driver's Temperature (Remove & Install),Remove and Install,0.35,0.35
18102102,Actuator - Driver's Temperature (Remove & Replace),Remove and Replace,0.42,0.42
18102201,Actuator - Mode (Remove & Install),Remove and Install,0.3,0.3
18102202,Actuator - Mode (Remove & Replace),Remove and Replace,0.42,0.42
18102301,Actuator - Front Passenger's Temperature (Remove & Install),Remove and Install,0.3,0.3
18102302,Actuator - Front Passenger's Temperature (Remove & Replace),Remove and Replace,0.36,0.36
18102401,Actuator - Defrost (Remove & Install),Remove and Install,0.3,0.3
18102402,Actuator - Defrost (Remove & Replace),Remove and Replace,0.42,0.42
18103001,Module - Thermal Controller (Remove & Install),Remove and Install,1.2,1.2
18103002,Module - Thermal Controller (Remove & Replace),Remove and Replace,1.44,1.44
