Code,Description,Work Type,Labor Hours,FRT
11353701,Latch - Door - Rear - LH  (Remove & Install),Remove and Install,0.5,0.5
11353702,Latch - Door - Rear - LH  (Remove & Replace),Remove and Replace,0.6,0.6
11353801,Latch - Door - Rear - RH  (Remove & Install),Remove and Install,0.5,0.5
11353802,Latch - Door - Rear - RH  (Remove & Replace),Remove and Replace,0.6,0.6
11354001,Striker - Door - Rear - LH (Remove & Install),Remove and Install,0.12,0.12
11354002,Striker - Door - Rear - LH (Remove & Replace),Remove and Replace,0.12,0.12
11354101,Striker - Door - Rear - RH (Remove & Install),Remove and Install,0.12,0.12
11354102,Striker - Door - Rear - RH (Remove & Replace),Remove and Replace,0.12,0.12
11355001,Latch - Trunk (Remove & Install),Remove and Install,0.12,0.12
11355002,Latch - Trunk (Remove & Replace),Remove and Replace,0.12,0.12
11355011,Latch - Cinch - Trunk (Remove & Install),Remove and Install,0.1,0.1
11355012,Latch - Cinch - Trunk (Remove & Replace),Remove and Replace,0.12,0.12
11355201,Actuator - Latch - Hood - Primary (Remove & Install),Remove and Install,0.2,0.2
11355202,Actuator - Latch - Hood - Primary (Remove & Replace),Remove and Replace,0.24,0.24
11355301,Actuator - Latch - Hood - Secondary (Remove & Install),Remove and Install,0.15,0.15
11355302,Actuator - Latch - Hood - Secondary (Remove & Replace),Remove and Replace,0.18,0.18
11355601,Switch - Exterior Release - Trunk (Remove & Install),Remove and Install,0.1,0.1
11355602,Switch - Trunk - Exterior (Remove & Replace),Remove and Replace,0.18,0.18
11355612,Switch and Camera Assembly - Exterior Release - Trunk (Remove & Replace),Remove and Replace,0.12,0.12
11358005,Manual Release - Door - Rear - LH (Actuate),Maintenance,0.05,0.05
11359005,Manual Release - Door - Rear - RH (Actuate),Maintenance,0.05,0.05
11359602,Replace Trunk Latch (Model 3 Power Trunk Retrofit) (China),Remove and Replace,0.12,0.12
11403001,Switch - Interior Release - Door - Front - LH (Remove & Install),Remove and Install,0.1,0.1
