Model,Model_ID,Code,Description,Work_Type,Labor_Hours,FRT
Model 3,35,00035200,Used Vehicle Inspection (Japan),Inspection,2.5,2.5
Model 3,35,00037000,Perform Final Inspection China,Inspection,0.0,0.0
Model 3,35,00038000,Global Press Vehicle inspection,Inspection,6.1,6.1
Model 3,35,00038100,Extended Warranty Admin Work (China),Fee,0.3,0.3
Model 3,35,00039000,Used Vehicle Intake Inspection (UVIS Only),Inspection,0.0,0.0
Model 3,35,00039100,Extend Warranty Agreement Inspection (China),Inspection,0.65,0.65
Model 3,35,00039200,Vehicle Inspection at the Customer's Request (Korea),Inspection,0.6,0.6
Model 3,35,00039201,Detailed Vehicle Inspection at the Customer's Request （Korea)）,Inspection,1.0,1.0
Model 3,35,00039400,Repossessions and Recoveries Inspection,Inspection,0.5,0.5
Model 3,35,00040100,Perform Post-Repair Validation Test Drive,Test/Adjust,0.3,0.3
Model 3,35,00040900,Virginia Safety Inspection,Inspection,0.5,0.5
Model 3,35,00041000,Annual Service Inspection (Japan Only),Inspection,1.0,1.0
Model 3,35,00041100,NSW e-Safety Inspection (Pink Slip),Inspection,0.3,0.3
Model 3,35,00041110,NSW e-Safety Inspection (Blue Slip),Inspection,0.7,0.7
Model 3,35,00042000,Warrant of Fitness - New Zealand,Inspection,1.0,1.0
Model 3,35,00042300,Pre - delivery Final Check for Unmatched Inventory Vehicle (China),Inspection,0.0,0.0
Model 3,35,00050104,Additional Work Required - ODIN Routine Troubleshooting,General Diagnosis,0.1,0.1
Model 3,35,00050300,OBD Connector (Retrofit),Retrofit,0.24,0.24
Model 3,35,00051000,Annual Service Inspection - Shaken (Japan),Inspection,2.0,2.0
Model 3,35,00051100,QLD Roadworthy Safety Inspection (RWC),Inspection,0.75,0.75
Model 3,35,00052000,Used Vehicle Inspection for China,Test/Adjust,1.3,1.3
Model 3,35,00100004,General Diagnosis,General Diagnosis,0.5,0.5
Model 3,35,00100014,Diagnosis: Unable to Replicate Concern,General diagnosis conclusion,0.0,0.0
Model 3,35,00100024,Remote Diagnosis,Remote Diagnostics,0.3,0.3
Model 3,35,00100025,Remote Diagnosis: Customer Declined ,Remote Diagnostics,0.0,0.0
Model 3,35,00901320,Install Ceramic Coating,Retrofit,1.5,1.5
Model 3,35,10000004,Adjustment: Body / Closure Components,Test/Adjust,0.4,0.4
Model 3,35,10000105,Jack Mode Activation,Test/Adjust,0.06,0.06
Model 3,35,100002091,Auto Diagnostics,Remote Diagnostics,0.0,0.0
Model 3,35,10010006,"Customer Delayed Collecting Vehicle, Occupying Tesla Premises",Fee,0.0,0.0
Model 3,35,10010007,Tesla Body Repair - Paint Supplies,Body Shop,0.0,0.0
Model 3,35,10010008,Tesla Body Repair - Miscellaneous Labor,Body Shop,0.0,0.0
Model 3,35,10010009,Storage Fees,Body Shop,1.0,1.0
Model 3,35,10010010,Tesla Body Repair - Frame Labor,Body Shop,0.0,0.0
Model 3,35,10010011,Tesla Body Repair - Structural,Body Shop,0.0,0.0
Model 3,35,10010012,Tesla Body Structural - Sheet Metal Quotation,Test/Adjust,0.6,0.6
Model 3,35,10010014,Tesla Body Structural - Sheet Metal Repair,Restore,1.0,1.0
Model 3,35,10010015,Tesla Body Structural--Reassemble Parts,Test/Adjust,1.0,1.0
Model 3,35,10010016,Tesla Body Repair - Aluminum Labor,Body Shop,0.0,0.0
Model 3,35,1001010011,Carrier - Bumper - Front,Remove and Install,1.02,1.02
Model 3,35,1001010012,Carrier - Bumper - Front,Remove and Replace,1.02,1.02
Model 3,35,1001010021,Reinforcement - Fascia - Front - LH,Remove and Install,0.48,0.48
Model 3,35,1001010022,Reinforcement - Fascia - Front - LH,Remove and Replace,0.48,0.48
Model 3,35,1001010031,Reinforcement - Fascia - Front - RH,Remove and Install,0.6,0.6
Model 3,35,1001010032,Reinforcement - Fascia - Front RH,Remove and Replace,0.42,0.42
Model 3,35,10010100602,Cover - Front Fascia Camera,Remove and Replace,0.12,0.12
Model 3,35,1001020041,Fascia - Front,Remove and Install,0.42,0.42
Model 3,35,1001020042,Fascia - Front,Remove and Replace,0.9,0.9
Model 3,35,1001020051,Grille - Fascia - Front,Remove and Install,0.54,0.54
Model 3,35,1001020052,Grille - Fascia - Front,Remove and Replace,0.54,0.54
Model 3,35,1001020061,Bracket - Fascia Side to Fender - LH,Remove and Install,0.12,0.12
Model 3,35,1001020062,Bracket - Fascia Side to Fender - LH ,Remove and Replace,0.12,0.12
Model 3,35,1001020071,Bracket - Fascia Side to Fender - RH,Remove and Install,0.12,0.12
Model 3,35,1001020072,Bracket - Fascia Side to Fender - RH,Remove and Replace,0.12,0.12
Model 3,35,1001020081,Bracket - Fascia Center to Fender - LH,Remove and Install,0.47,0.47
Model 3,35,1001020082,Bracket - Fascia Center to Fender - LH,Remove and Replace,0.47,0.47
Model 3,35,1001020091,Bracket - Fascia Center to Fender - RH,Remove and Install,0.47,0.47
Model 3,35,1001020092,Bracket - Fascia Center to Fender - RH,Remove and Replace,0.47,0.47
Model 3,35,1001020101,Cover - Tow Hook - Front,Remove and Install,0.06,0.06
Model 3,35,1001020102,Cover - Tow Hook - Front,Remove and Replace,0.06,0.06
Model 3,35,1001020111,Fascia - Front - Lower,Remove and Install,0.66,0.66
Model 3,35,1001020112,Fascia - Front - Lower,Remove and Replace,0.66,0.66
Model 3,35,1001020121,Cover - Hood Latch,Remove and Install,0.06,0.06
Model 3,35,1001020122,Cover - Hood Latch,Remove and Replace,0.06,0.06
Model 3,35,1001020131,Tow Hook - Front,Remove and Install,0.06,0.06
Model 3,35,1001020132,Tow Hook - Front,Remove and Replace,0.06,0.06
Model 3,35,1001030011,Bumper Beam - Front,Remove and Install,0.66,0.66
Model 3,35,1001030012,Bumper Beam - Front,Remove and Replace,0.66,0.66
Model 3,35,1001030021,Foam - Bumper Beam - Front,Remove and Install,0.54,0.54
Model 3,35,1001030022,Foam - Bumper Beam - Front,Remove and Replace,0.54,0.54
Model 3,35,1001030031,Ankle Catcher,Remove and Install,0.6,0.6
Model 3,35,1001030032,Ankle Catcher,Remove and Replace,0.6,0.6
Model 3,35,1001030041,Crush Can - Lower - Front,Remove and Install,0.6,0.6
Model 3,35,1001030042,Crush Can - Lower - Front,Remove and Replace,0.6,0.6
Model 3,35,1001030051,Crush Can - Upper - Front - LH,Remove and Install,1.2,1.2
Model 3,35,1001030052,Crush Can - Upper - Front - LH,Remove and Replace,1.2,1.2
Model 3,35,1001030061,Crush Can - Upper - Front - RH,Remove and Install,1.2,1.2
Model 3,35,1001030062,Crush Can - Upper - Front - RH,Remove and Replace,1.2,1.2
Model 3,35,10010302522,Crush Can Removal Refit or Replacement And Paint-Sealer Spray-CN Only,Paint Work,0.37,0.37
Model 3,35,10010302622,Crush Can Removal Refit or Replacement And Paint-Sealer Sanding-CN Only,Paint Work,0.1,0.1
Model 3,35,10010302722,Crush Can Removal Refit or Replacement And Paint-Painting-CN Only,Paint Work,0.39,0.39
Model 3,35,1001040011,Fascia - Rear - Upper,Remove and Install,0.54,0.54
Model 3,35,1001040012,Fascia - Rear - Upper,Remove and Replace,0.54,0.54
