Model,Model_ID,Code,Description,Work_Type,Labor_Hours,FRT
Model 3,7,70015000,Test To Confirm Water Ingress No Longer Present,Test/Adjust,0.3,0.3
Model 3,7,70020105,Paint - Sublet,Sublet,0.0,0.0
Model 3,7,70020305,Upholstery - Sublet,Sublet,0.0,0.0
Model 3,7,70020306,Vehicle Wrap – Color Film (Repair),Sublet,0.0,0.0
Model 3,7,70020315,Seat Upholstery Repair (Internal),Remove and Replace,1.2,1.2
Model 3,7,70020325,Seat Upholstery Steaming,Modify,0.25,0.25
Model 3,7,70020405,Fire Extinguisher,Retrofit,0.0,0.0
Model 3,7,70020505,Wheel Refinish - Sublet,Sublet,0.0,0.0
Model 3,7,70020805,Glass Repair / Replacement  - Sublet,Sublet,0.0,0.0
Model 3,7,70021015,Tesla Bodyshop Fascia Repair - Sublet,Sublet,0.0,0.0
Model 3,7,70021025,Tesla Bodyshop Door Repair - Sublet,Sublet,0.0,0.0
Model 3,7,70021035,Tesla Bodyshop Front Fender Repair - Sublet ,Sublet,0.0,0.0
Model 3,7,70021045,Tesla Bodyshop Rear Fender Repair - Sublet ,Sublet,0.0,0.0
Model 3,7,70021055,Tesla Bodyshop Hood / Rear Trunk Repair - Sublet,Sublet,0.0,0.0
Model 3,7,70021065,Tesla Bodyshop Special / Frosted Plastic Parts Repair - Sublet ,Sublet,0.0,0.0
Model 3,7,70021105,Dent Repair - Sublet,Sublet,0.0,0.0
Model 3,7,70021745,Tesla Bodyshop Exterior Lights Repair - Sublet ,Sublet,0.0,0.0
Model 3,7,70022005,Unsupported Vehicle Body Shop Inspection - Primary,Inspection,1.2,1.2
Model 3,7,70022205,Unsupported Vehicle Body Shop Inspection - Secondary,Inspection,1.2,1.2
Model 3,7,70022305,Vehicle Detailing - Sublet,Sublet,0.0,0.0
Model 3,7,70023005,RIV Inspection - Sublet,Inspection,0.0,0.0
Model 3,7,70023105,Israel Ordinance 309 Inspection - Sublet,Sublet,0.0,0.0
Model 3,7,70023405,Tesla Bodyshop Wheel Hub Repair - Sublet,Sublet,0.0,0.0
Model 3,7,70060005,Thread Repair,Maintenance,0.0,0.0
Model 3,7,7007100,Towing - Sublet,Sublet,0.0,0.0
Model 3,7,7007300,Other – Sublet,Sublet,0.0,0.0
Model 3,7,7100001,NO LABOR PERFORMED,Repair,0.0,0.0
Model 3,7,7100002,Seasonal Tire Storage,Fee,0.0,0.0
Model 3,7,7100056,Self-Driving Car Computer Retrofit Billing,Fee,0.0,0.0
Model 3,7,7100066,Homelink Retrofit Billing,Fee,0.0,0.0
Model 3,7,72000004,California Battery Fee,Fee,0.01,0.01
Model 3,7,72000005,Loaner Fee,Fee,0.0,0.0
Model 3,7,72000006,Tyre Stewardship Fee--New Zealand,Fee,0.01,0.01
Model 3,7,72000007,Breach Penalty,Fee,0.0,0.0
Model 3,7,72000008,Interlock Deactivation Fee,Fee,0.75,0.75
Model 3,7,72000009,Roadside Mobile Service Issue Inspection,Fee,0.25,0.25
Model 3,7,73010008,Remarketing - Photos,Restore,0.0,0.0
Model 3,7,73020008,Remarketing - Detail,Restore,0.0,0.0
Model 3,7,74010008,Dubai Hailstorm Damage (Repair),Restore,7.0,7.0
Model 3,7,91000004,On Site – Education,Customer Education,0.0,0.0
Model 3,7,91001005,Print And Attach Used Car Buyers Guide,Maintenance,0.0,0.0
Model 3,7,91020105,Car Wash (Hand Wash),Detail Work,0.25,0.25
Model 3,7,91020115,Car Wash (Mechanical Wash),Maintenance,0.24,0.24
Model 3,7,91020205,Detail I,Detail Work,1.08,1.08
Model 3,7,91020305,Detail II,Detail Work,1.68,1.68
Model 3,7,91020405,Detail III,Detail Work,3.6,3.6
Model 3,7,91020908,Vehicle Cleaning - General,Detail Work,0.0,0.0
Model 3,7,91021005,Seasonal Wheel and Tires - (Place in Trunk),Fee,0.0,0.0
Model 3,7,91021507,Replace Price Information Label,Remove and Replace,0.06,0.06
Model 3,7,91021517,Install Used Vehicle Label,Remove and Install,0.24,0.24
Model 3,7,91022005,Charge Vehicle,Restore,0.0,0.0
Model 3,7,91022407,Vehicle Configuration Update,Program,0.05,0.05
Model 3,7,91029006,Mobile Service Hub Repair,Retrofit,0.0,0.0
Model 3,7,91040105,Loaner Battery Installation,Remove and Install,0.0,0.0
Model 3,7,91040205,Loaner Battery Removed/Returned,Maintenance,0.0,0.0
Model 3,7,91041001,Loaner Tire/Wheel (Remove & Install),Remove and Install,0.35,0.35
Model 3,7,91041108,Loaner Wheel Reunite,Restore,0.01,0.01
Model 3,7,91041605,Loaner Drive Unit Installation,Remove and Install,0.0,0.0
Model 3,7,91041705,Loaner Drive Unit Removed/Returned,Maintenance,0.0,0.0
Model 3,7,92030010,Factory Body - Fremont,Test/Adjust,0.0,0.0
Model 3,7,92050010, Factory Paint - Fremont,Test/Adjust,0.0,0.0
Model 3,7,92090010,Factory End Of Line (EOL) - Fremont,Test/Adjust,0.0,0.0
Model 3,7,97065285,Front Wheel Hub Bearing Clicking Noise Repair ,Modify,1.08,1.08
Model S,1,00000010,Remote – Education,Over The Air,0.0,0.0
Model S,1,00002600,Perform Visual Inspection for Vehicle Chassis Damage (China),Inspection,0.15,0.15
Model S,1,00002700,Underbody Damage Inspection (By Machine),Inspection,0.0,0.0
Model S,1,00003280,Vehicle Accessories (PDI retrofit),Test/Adjust,0.0,0.0
Model S,1,00003294,New Zealand-Inspect and Provide Certification of Loading (COL) ,Fee,0.25,0.25
Model S,1,00003815,CEV subsidy support (Japan),Sublet,0.0,0.0
Model S,1,00004107,Alert Diagnosis - Repair,General diagnosis conclusion,0.06,0.06
Model S,1,00004108,Alert Diagnosis (Repair) - Create New Service Activity for Repair,Test/Adjust,0.06,0.06
Model S,1,00004440, New Zealand - Change of Vehicle Use,Fee,0.17,0.17
Model S,1,00005220,Re-examination of Vehicle for ACT Roadworthiness Within 1 Calendar Month (AU),Inspection,0.5,0.5
Model S,1,00005759,Pre-Warranty Expire Inspection (China),Inspection,0.6,0.6
Model S,1,00005760,Pre-warranty inspection for Japan,Inspection,0.25,0.25
Model S,1,00005914,Service Collision Estimate,Inspection,0.0,0.0
Model S,1,00006744,Engineering Vehicle in Service (Support),Maintenance,0.0,0.0
Model S,1,00007192,Outside Influence or Vehicle Modified - Additional Work Required,Modify,0.0,0.0
Model S,1,00007735,Perform Inspection for ACT Roadworthiness for Motor Vehicles Not Exceeding 4.5 Tonnes GVM (AU),Inspection,0.5,0.5
Model S,1,00008534,New Zealand-Inspect and Provide Certificate of Fitness (COF) ,Fee,0.75,0.75
Model S,1,00008598,Tesla Body Repair - Menu Pricing,Test/Adjust,1.0,1.0
Model S,1,00009055,Mobile Visit Fee (Japan),Fee,0.0,0.0
Model S,1,00009186,Tesla Insurance Rental,Test/Adjust,0.0,0.0
Model S,1,00009187,Tesla Approved Collision Center Remote Diagnosis,Test/Adjust,0.0,0.0
Model S,1,00014105,1 Year/12500 Mile/20000 km Service (Pre-paid Plan Only) (Add Necessary Parts and Labor Separately),Maintenance,0.15,0.15
Model S,1,00014205,2 Year/25000 Mile/40000 km Service (Pre-paid Plan only),Maintenance,3.0,3.0
Model S,1,00014305,3 Year/37500 Mile/60000 km Service (Pre-paid Plan Only) (Add Necessary Parts and Labor Separately),Maintenance,0.15,0.15
Model S,1,00014405,4 Year/50000 Mile/80000 km Service (Pre-paid Plan Only),Maintenance,3.4,3.4
Model S,1,00014505,5 Year/62500 Mile/100000 km Service (Pre-paid Plan Only) (Add Necessary Parts and Labor Separately),Maintenance,0.15,0.15
Model S,1,00014705,6 Year/75000 Mile/120000 km Service (Pre-paid plan only),Maintenance,3.0,3.0
Model S,1,00014805,7 Year/87500 Mile/140000 km Service (Pre-paid Plan Only) (Add Necessary Parts and Labor Separately),Maintenance,0.15,0.15
Model S,1,00014905,8 Year/100000 Mile/160000 km Service (Pre-paid Plan Only),Maintenance,3.4,3.4
Model S,1,00015005,9 Year/112500 Mile/180000 km Service (Pre-paid Plan Only) (Add Necessary Parts and Labor Separately),Maintenance,0.15,0.15
Model S,1,00015205,10 Year/125000 Mile/200000 km Service (Pre-paid Plan Only),Maintenance,3.0,3.0
Model S,1,00015305,11 Year/137500 Mile/220000 km Service (Pre-paid Plan Only) (Add Necessary Parts and Labor Separately),Maintenance,0.15,0.15
Model S,1,00015405,12 Year/150000 Mile/240000 km Service (Pre-paid Plan Only),Maintenance,3.4,3.4
Model S,1,00020003,Firmware Update,Over The Air,0.06,0.06
Model S,1,00020006,Firmware Update - Comfort Package Retrofit,Retrofit,0.0,0.0
Model S,1,00020007,Firmware Update - Garage,Update,0.05,0.05
Model S,1,00020008,Firmware Reinstall - Toolbox,Restore,0.06,0.06
Model S,1,00020010,Remote – Known Characteristic of Current Firmware,Over The Air,0.25,0.25
Model S,1,00020018,Firmware Reinstall - Touchscreen,Restore,0.05,0.05
Model S,1,00020020,Remote – Over the Air Update,Over The Air,0.25,0.25
Model S,1,00020104,Additional Work Required - Firmware Update/Reinstall Troubleshooting,General Diagnosis,0.0,0.0
Model S,1,00021003,Firmware Redeploy - Touchscreen,Module Reset/Reflashed,0.05,0.05
Model S,1,00022008,User Data (Factory Reset),Restore,0.05,0.05
Model S,1,00023003,Clear Filesystem Caches,Module Reset/Reflashed,0.05,0.05
Model S,1,00027003,Salvage Vehicles Quote (China),Fee,3.0,3.0
Model S,1,00030100,PDI (Without Test Drive),Inspection,0.0,0.0
Model S,1,00030101,Vehicle Receiving Inspection,Inspection,0.24,0.24
Model S,1,00030300,Perform North Carolina State Inspection,Inspection,0.2,0.2
Model S,1,00030400,Courtesy Inspection,Inspection,0.0,0.0
Model S,1,00030410,Vehicle Health Check,Inspection,1.5,1.5
Model S,1,00030420,Four Wheel Check (on Lift),Test/Adjust,0.3,0.3
Model S,1,00030600,Perform China Safety Inspection,Inspection,1.0,1.0
Model S,1,00030700,Perform General Inspection,Inspection,0.96,0.96
Model S,1,00030701,Perform General Inspection (No Issue Found),Inspection,0.5,0.5
Model S,1,00030702,Perform Accident Vehicle Inspection (China),Fee,0.0,0.0
Model S,1,00030800,Perform Belgium Safety Inspection,Test/Adjust,1.0,1.0
Model S,1,00030900,Perform Hawaii State Inspection,Inspection,0.75,0.75
Model S,1,00031000,Perform New York State Inspection,Inspection,0.4,0.4
Model S,1,00031100,Perform Missouri State Inspection,Inspection,0.4,0.4
Model S,1,00031300,Vehicle Transfer Inspection,Inspection,0.1,0.1
Model S,1,00031400,Out Of Province Inspection - Alberta (Inspection),Inspection,1.2,1.2
Model S,1,00031500,Perform Nova Scotia Provincial Motor Vehicle Inspection,Inspection,0.5,0.5
Model S,1,00031510,Perform Nova Scotia Provincial Motor Vehicle Inspection (Replacement Sticker),Inspection,0.1,0.1
Model S,1,00031520,Perform Ontario Provincial Motor Vehicle Inspection,Inspection,1.0,1.0
Model S,1,00031600,Perform Periodisk Kontroll av Kjøretøy (PKK) – Norway,Test/Adjust,1.0,1.0
Model S,1,00031700,Perform Etterkontroll Periodisk Kontroll av Kjøretøy (PKK) – Norway,Test/Adjust,0.4,0.4
Model S,1,00031800,Perform Netherlands MOT Inspection (Tesla),Inspection,0.5,0.5
Model S,1,00031900,Perform Netherlands MOT Inspection (Non-Tesla),Inspection,0.5,0.5
Model S,1,00032000,Used Vehicle Inspection,Inspection,1.02,1.02
Model S,1,00032100,Used Vehicle Final Quality Check,Inspection,0.3,0.3
Model S,1,00032200,Pre-Loaner Vehicle Inspection,Inspection,1.0,1.0
Model S,1,00032201,Loaner Registration Confirmation,Inspection,0.2,0.2
Model S,1,00032300,Pre - delivery Inspection for Retired Marketing Vehicle (China),Inspection,0.9,0.9
Model S,1,00032400,Used Vehicle Inspection,Inspection,0.0,0.0
Model S,1,00032500,Shaken Inspection (Japan),Inspection,1.0,1.0
Model S,1,00032600,SUBLET - Perform Germany MOT Inspection,Sublet,0.0,0.0
Model S,1,00032700,Perform Germany MOT Pre-Inspection and Headlamp Adjustment,Inspection,0.6,0.6
Model S,1,00032800,Perform Austria MOT Pre-Inspection and Headlamp Adjustment,Inspection,0.6,0.6
Model S,1,00032900,German UVV (Unfallverhütungsvorschfrift) Accident Prevention Regulations,Inspection,0.7,0.7
Model S,1,00033200,VIC Roadworthy Safety Inspection (RWC),Inspection,1.5,1.5
Model S,1,00033300,New Hampshire State Inspection,Inspection,0.6,0.6
Model S,1,00033400,Perform PRI Pre-Inspection,Test/Adjust,0.6,0.6
Model S,1,00033500,Remote System Check(Japan Shaken Inspection),Inspection,0.15,0.15
Model S,1,00034000,Perform Total Loss Vehicle (Soaking in Water) Inspection (China),Test/Adjust,32.0,32.0
Model S,1,00034201,Perform Body Shop Final Inspection(China),Inspection,0.35,0.35
Model S,1,00034300,TC support TAB Vehicle Configuration Change,Test/Adjust,0.2,0.2
Model S,1,00035000,Shaken Pre-inspection (Japan Only),Maintenance,0.5,0.5
Model S,1,00035100,Annual Service Inspection – Shaken Pre Inspected (Japan),Inspection,2.5,2.5
Model S,1,00035200,Used Vehicle Inspection (Japan),Inspection,2.5,2.5
Model S,1,00037000,Perform Final Inspection China,Inspection,0.0,0.0
Model S,1,00038000,Global Press Vehicle inspection,Inspection,3.42,3.42
Model S,1,00038100,Extended Warranty Admin Work (China),Fee,0.3,0.3
Model S,1,00039000,Used Vehicle Intake Inspection (UVIS Only),Inspection,0.0,0.0
Model S,1,00039100,Extend Warranty Agreement Inspection (China),Inspection,0.75,0.75
Model S,1,00039200,Vehicle Inspection at the Customer's Request (Korea),Inspection,0.6,0.6
Model S,1,00039201,Detailed Vehicle Inspection at the Customer's Request （Korea)）,Inspection,1.0,1.0
Model S,1,00039400,Repossessions and Recoveries Inspection,Inspection,0.5,0.5
Model S,1,00040100,Perform Post-Repair Validation Test Drive,Test/Adjust,0.3,0.3
Model S,1,00040900,Virginia Safety Inspection,Inspection,0.5,0.5
Model S,1,00041000,Annual Service Inspection (Japan Only),Inspection,2.0,2.0
Model S,1,00041100,NSW e-Safety Inspection (Pink Slip),Inspection,0.3,0.3
Model S,1,00041110,NSW e-Safety Inspection (Blue Slip),Inspection,0.7,0.7
Model S,1,00042000,Warrant of Fitness - New Zealand,Inspection,1.0,1.0
Model S,1,00050104,Additional Work Required - ODIN Routine Troubleshooting,General Diagnosis,0.1,0.1
Model S,1,00051000,Annual Service Inspection - Shaken (Japan),Inspection,2.0,2.0
Model S,1,00051100,QLD Roadworthy Safety Inspection (RWC),Inspection,0.75,0.75
Model S,1,00052000,Used Vehicle Inspection for China,Test/Adjust,1.5,1.5
Model S,1,00100004,General Diagnosis,General Diagnosis,0.5,0.5
Model S,1,00100014,Diagnosis: Unable to Replicate Concern,General diagnosis conclusion,0.0,0.0
Model S,1,00100024,Remote Diagnosis,Remote Diagnostics,0.3,0.3
Model S,1,00100025,Remote Diagnosis: Customer Declined ,Remote Diagnostics,0.0,0.0
Model S,1,00901320,Install Ceramic Coating,Retrofit,2.5,2.5
Model S,1,10000004,Adjustment: Body / Closure Components,Test/Adjust,0.4,0.4
Model S,1,10000105,Jack Mode Activation,Test/Adjust,0.06,0.06
Model S,1,100002091,Auto Diagnostics,Remote Diagnostics,0.0,0.0
Model S,1,10010006,"Customer Delayed Collecting Vehicle, Occupying Tesla Premises",Fee,0.0,0.0
Model S,1,10010007,Tesla Body Repair - Paint Supplies,Body Shop,0.0,0.0
Model S,1,10010008,Tesla Body Repair - Miscellaneous Labor,Body Shop,0.0,0.0
Model S,1,10010009,Storage Fees,Body Shop,1.0,1.0
Model S,1,10010010,Tesla Body Repair - Frame Labor,Body Shop,0.0,0.0
Model S,1,10010011,Tesla Body Repair - Structural,Body Shop,0.0,0.0
Model S,1,10010012,Tesla Body Structural - Sheet Metal Quotation,Test/Adjust,0.6,0.6
Model S,1,10010014,Tesla Body Structural - Sheet Metal Repair,Restore,1.0,1.0
Model S,1,10010015,Tesla Body Structural - Reassemble Parts,Test/Adjust,1.0,1.0
Model S,1,10010016,Tesla Body Repair - Aluminum Labor,Body Shop,0.0,0.0
Model S,1,10010901,Fascia Assembly - Front - 2nd Generation (Remove & Install),Remove and Install,0.48,0.48
Model S,1,10010902,Fascia Assembly - Front - 2nd Generation (Remove & Replace),Remove and Replace,0.42,0.42
Model S,1,10011001,Fascia Assembly - Front - 1st Generation (Remove & Install),Remove and Install,0.42,0.42
Model S,1,10011002,Fascia Assembly - Front (Remove & Replace),Remove and Replace,1.14,1.14
Model S,1,10011011,Cover - Tow Hook - Front (Remove & Install)	,Remove and Install,0.06,0.06
Model S,1,10011012,Cover - Tow Hook - Front (Remove & Replace),Remove and Replace,0.06,0.06
Model S,1,10011058,Fascia Assembly - Front (Refinish),Restore,4.5,4.5
Model S,1,10011069,Fascia Front Replacement And Paint-CN Only,Paint Work,3.56,3.56
Model S,1,10011070,Fascia Front Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,1.16,1.16
Model S,1,10011071,Fascia Front Replacement And Paint - Sealer Spary-CN Only,Refinish,0.6,0.6
Model S,1,10011072,Fascia Front Replacement And Paint - Sealer Sanding-CN Only,Refinish,0.5,0.5
Model S,1,10011073,Fascia Front Replacement And Paint - Painting-CN Only,Paint Work,0.8,0.8
Model S,1,10011074,Fascia Front Replacement And Paint - Polishing-CN Only,Paint Work,0.5,0.5
Model S,1,10011075,Fascia Front Removal Refit And Paint-CN Only,Paint Work,3.1,3.1
Model S,1,10011076,Fascia Front Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,1.32,1.32
Model S,1,10011077,Fascia Front Removal Refit And Paint - Sealer Spary-CN Only,Refinish,0.23,0.23
Model S,1,10011079,Fascia Front Removal Refit And Paint - Painting-CN Only,Paint Work,0.8,0.8
Model S,1,10011080,Fascia Front Removal Refit And Paint - Polishing-CN Only,Paint Work,0.5,0.5
Model S,1,10011081,Fender Assembly Front LH Replacement And Paint-CN Only,Paint Work,3.84,3.84
Model S,1,10011082,Fender Assembly Front LH Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,1.74,1.74
Model S,1,10011083,Fender Assembly Front LH Replacement And Paint - Sealer Spary-CN Only,Refinish,0.6,0.6
Model S,1,10011084,Fender Assembly Front LH Replacement And Paint - Sealer Sanding-CN Only,Refinish,0.5,0.5
Model S,1,10011085,Fender Assembly Front LH Replacement And Paint - Painting-CN Only,Paint Work,0.6,0.6
Model S,1,10011086,Fender Assembly Front LH Replacement And Paint - Polishing-CN Only,Paint Work,0.4,0.4
Model S,1,10011087,Fender Assembly Front LH Removal Refit And Paint-CN Only,Paint Work,3.08,3.08
Model S,1,10011089,Fender Assembly Front LH Removal Refit And Paint - Sealer Spary-CN Only,Refinish,0.33,0.33
Model S,1,10011090,Fender Assembly Front LH Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,0.25,0.25
Model S,1,10011091,Fender Assembly Front LH Removal Refit And Paint - Painting-CN Only,Paint Work,0.6,0.6
Model S,1,10011092,Fender Assembly Front LH Removal Refit And Paint - Polishing-CN Only,Paint Work,0.4,0.4
Model S,1,10011093,Fender Assembly Front RH Replacement And Paint-CN Only,Paint Work,3.84,3.84
Model S,1,10011094,Fender Assembly Front RH Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,1.74,1.74
Model S,1,10011095,Fender Assembly Front RH Replacement And Paint - Sealer Spary-CN Only,Refinish,0.6,0.6
Model S,1,10011096,Fender Assembly Front RH Replacement And Paint - Sealer Sanding-CN Only,Refinish,0.5,0.5
Model S,1,10011097,Fender Assembly Front RH Replacement And Paint - Painting-CN Only,Paint Work,0.6,0.6
Model S,1,10011098,Fender Assembly Front RH Replacement And Paint - Polishing-CN Only,Paint Work,0.4,0.4
Model S,1,10011099,Fender Assembly Front RH Removal Refit And Paint-CN Only,Paint Work,3.08,3.08
Model S,1,10011100,Fender Assembly Front RH Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,1.5,1.5
Model S,1,10011101,Bumper Beam - Front (Remove & Install),Remove and Install,1.2,1.2
Model S,1,10011102,Bumper Beam - Front (Remove & Replace),Remove and Replace,1.2,1.2
Model S,1,10011103,Fender Assembly Front RH Removal Refit And Paint - Painting-CN Only,Paint Work,0.6,0.6
Model S,1,10011104,Fender Assembly Front RH Removal Refit And Paint - Polishing-CN Only,Paint Work,0.4,0.4
Model S,1,10011105,Hood Assembly Replacement And Paint-CN Only,Paint Work,3.32,3.32
Model S,1,10011106,Hood Assembly Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,0.42,0.42
Model S,1,10011107,Hood Assembly Replacement And Paint - Sealer Spary-CN Only,Refinish,0.7,0.7
Model S,1,10011108,Apply Protective Coating to Inside of Front Bumper,Restore,1.2,1.2
Model S,1,10011109,Hood Assembly Replacement And Paint - Painting-CN Only,Paint Work,0.9,0.9
Model S,1,10011110,Hood Assembly Replacement And Paint - Polishing-CN Only,Paint Work,0.6,0.6
Model S,1,100111123,Putty filler (L)-CN Only,Refinish,1.44,1.44
Model S,1,100111124,Steel Cosmetic (S)-CN Only,Repair,1.0,1.0
Model S,1,100111125,Steel Cosmetic (M)-CN Only,Repair,1.5,1.5
Model S,1,100111126,Steel Cosmetic (L)-CN Only,Repair,2.5,2.5
Model S,1,100111127,Alumiunm Cosmetic (S)-CN Only,Repair,1.0,1.0
Model S,1,100111128,Alumiunm Cosmetic (M)-CN Only,Repair,1.5,1.5
Model S,1,100111129,Alumiunm Cosmetic (L)-CN Only,Repair,2.5,2.5
Model S,1,10011113,Hood Assembly Removal Refit And Paint - Sealer Spary-CN Only,Refinish,0.43,0.43
Model S,1,100111130,Alumiunm Cosmetic (XL)-CN Only,Repair,3.0,3.0
Model S,1,100111131,Plastic cosmetic (S)-CN Only,Repair,0.5,0.5
Model S,1,100111132,Plastic cosmetic (M)-CN Only,Repair,1.0,1.0
Model S,1,100111133,Plastic cosmetic (L)-CN Only,Repair,1.5,1.5
Model S,1,100111134,test ,Repair,0.5,0.5
Model S,1,10011114,Hood Assembly Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,0.35,0.35
Model S,1,10011115,Hood Assembly Removal Refit And Paint - Painting-CN Only,Paint Work,0.8,0.8
Model S,1,10011116,Hood Assembly Removal Refit And Paint - Polishing-CN Only,Paint Work,0.5,0.5
Model S,1,10011117,Front Door RH Replacement And Paint-CN Only,Paint Work,3.82,3.82
Model S,1,10011118,Front Door RH Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,1.52,1.52
Model S,1,10011119,Front Door RH Replacement And Paint - Sealer Spary-CN Only,Refinish,0.6,0.6
Model S,1,10011120,Front Door RH Replacement And Paint - Sealer Sanding-CN Only,Refinish,0.5,0.5
Model S,1,10011123,Front Door RH Removal Refit And Paint-CN Only,Paint Work,2.97,2.97
Model S,1,10011124,Front Door RH Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,0.99,0.99
Model S,1,10011125,Front Door RH Removal Refit And Paint - Sealer Spary-CN Only,Refinish,0.43,0.43
Model S,1,10011126,Front Door RH Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,0.45,0.45
Model S,1,10011127,Front Door RH Removal Refit And Paint - Painting-CN Only,Paint Work,0.7,0.7
Model S,1,10011128,Front Door RH Removal Refit And Paint - Polishing-CN Only,Paint Work,0.4,0.4
Model S,1,10011129,Rear Door LH Replacement And Paint-CN Only,Paint Work,4.48,4.48
Model S,1,10011130,Rear Door LH Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,1.98,1.98
Model S,1,10011131,Rear Door LH Replacement And Paint - Sealer Spary-CN Only,Refinish,0.6,0.6
Model S,1,10011132,Rear Door LH Replacement And Paint - Sealer Sanding-CN Only,Refinish,0.5,0.5
Model S,1,10011133,Rear Door LH Replacement And Paint - Painting-CN Only,Paint Work,0.9,0.9
Model S,1,10011134,Rear Door LH Replacement And Paint - Polishing-CN Only,Paint Work,0.5,0.5
Model S,1,10011135,Rear Door LH Removal Refit And Paint-CN Only,Paint Work,3.11,3.11
Model S,1,10011136,Rear Door LH Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,1.13,1.13
Model S,1,10011137,Rear Door LH Removal Refit And Paint - Sealer Spary-CN Only,Refinish,0.33,0.33
Model S,1,10011138,Rear Door LH Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,0.35,0.35
Model S,1,10011139,Rear Door LH Removal Refit And Paint - Painting-CN Only,Paint Work,0.8,0.8
Model S,1,10011140,Rear Door LH Removal Refit And Paint - Polishing-CN Only,Paint Work,0.5,0.5
Model S,1,10011141,Rear Door RH Replacement And Paint-CN Only,Paint Work,4.48,4.48
Model S,1,10011142,Rear Door RH Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,1.98,1.98
Model S,1,10011143,Rear Door RH Replacement And Paint - Sealer Spary-CN Only,Refinish,0.6,0.6
Model S,1,10011144,Rear Door RH Replacement And Paint - Sealer Sanding-CN Only,Refinish,0.5,0.5
Model S,1,10011145,Rear Door RH Replacement And Paint - Painting-CN Only,Paint Work,0.9,0.9
Model S,1,10011146,Rear Door RH Replacement And Paint - Polishing-CN Only,Paint Work,0.5,0.5
Model S,1,10011147,Rear Door RH Removal Refit And Paint-CN Only,Paint Work,3.11,3.11
Model S,1,10011148,Rear Door RH Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,1.13,1.13
Model S,1,10011149,Rear Door RH Removal Refit And Paint - Sealer Spary-CN Only,Refinish,0.33,0.33
Model S,1,10011150,Rear Door RH Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,0.35,0.35
Model S,1,10011151,Rear Door RH Removal Refit And Paint - Painting-CN Only,Paint Work,0.8,0.8
Model S,1,10011152,Rear Door RH Removal Refit And Paint - Polishing-CN Only,Paint Work,0.5,0.5
Model S,1,10011153,Quarter Outer Skin LH Removal Refit And Paint-CN Only,Paint Work,3.64,3.64
Model S,1,10011154,Quarter Outer Skin LH Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,1.56,1.56
Model S,1,10011155,Quarter Outer Skin LH Removal Refit And Paint - Sealer Spary-CN Only,Refinish,0.43,0.43
Model S,1,10011156,Quarter Outer Skin LH Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,0.45,0.45
Model S,1,10011157,Quarter Outer Skin LH Removal Refit And Paint - Painting-CN Only,Paint Work,0.7,0.7
Model S,1,10011158,Quarter Outer Skin LH Removal Refit And Paint - Polishing-CN Only,Paint Work,0.5,0.5
Model S,1,10011159,Quarter Outer Skin RH Removal Refit And Paint-CN Only,Paint Work,3.64,3.64
Model S,1,10011160,Quarter Outer Skin RH Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,1.56,1.56
Model S,1,10011161,Quarter Outer Skin RH Removal Refit And Paint - Sealer Spary-CN Only,Refinish,0.43,0.43
Model S,1,10011162,Quarter Outer Skin RH Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,0.45,0.45
Model S,1,10011163,Quarter Outer Skin RH Removal Refit And Paint - Painting-CN Only,Paint Work,0.7,0.7
Model S,1,10011164,Quarter Outer Skin RH Removal Refit And Paint - Polishing-CN Only,Paint Work,0.5,0.5
Model S,1,10011165,Trunk Replacement And Paint-CN Only,Paint Work,6.97,6.97
Model S,1,10011166,Trunk Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,4.17,4.17
Model S,1,10011167,Trunk Replacement And Paint - Sealer Spary-CN Only,Refinish,0.7,0.7
